URL,URL_Owner,Owner_Type,Data_Type,Data_Type_2,Data_Source_1
https://www.worldometers.info/coronavirus/,WorldOMeters,independent,tabular,NA,WHO
https://www.cdc.gov/coronavirus/2019-ncov/cases-updates/cases-in-us.html,US Center for Disease Control,government,tabular,geospatial,CDC
https://ourworldindata.org/coronavirus-data,Our World in Data,charity,tabular,geospatial,ECDC
https://coronavirus.jhu.edu/map.html,Johns Hopkins University,academic,tabular,geospatial,WHO
https://www.nytimes.com/interactive/2020/us/coronavirus-us-cases.html,New York Times,news organization,tabular,geospatial,regional health departments
https://www.google.com/covid19-map/,Google,independent,tabular,geospatial,Wikipedia
https://www.tableau.com/covid-19-coronavirus-data-resources,Tableau,independent,tabular,geospatial,Johns Hopkins University
https://www.ft.com/coronavirus-latest,Financial Times,news organization,tabular,geospatial,ECDC
https://www.bbc.com/news/world-51235105,BBC,news organization,tabular,geospatial,Johns Hopkins University
https://who.sprinklr.com,World Health Organization,specialized agency,tabular,geospatial,WHO
https://covidtracking.com/data,The COVID Tracking Project,independent,tabular,NA,regional health departments
http://91-divoc.com/pages/covid-visualization/,Wade Fagen-Ulmshneider,independent,tabular,NA,Johns Hopkins University
https://covid19.healthdata.org/united-states-of-america,Institute of Health Metrics and Evaluation,independent,tabular,NA,regional health departments
https://covidactnow.org,COVID Act Now,independent,geospatial,NA,NA
https://www.covid19virusdata.com,Andrew Winter,independent,tabular,NA,NA
https://www.bing.com/covid,Bing,independent,tabular,geospatial,CDC
